token	documento
inteligência	Doc1
artificial	Doc1
tem	Doc1
transformado	Doc1
diversas	Doc1
áreas	Doc1
sociedade	Doc1
algoritmos	Doc1
aprendizado	Doc1
máquina	Doc1
utilizados	Doc1
diagnósticos	Doc1
médicos	Doc1
previsão	Doc1
tempo	Doc1
recomendação	Doc1
conteúdo	Doc1
especialistas	Doc1
alertam	Doc1
regulamentação	Doc1
ética	Doc1
dessas	Doc1
tecnologias	Doc1
urgente	Doc1
necessária	Doc1
garantir	Doc1
uso	Doc1
responsável	Doc1
pesquisadores	Doc2
brasileiros	Doc2
desenvolveram	Doc2
vacina	Doc2
experimental	Doc2
contra	Doc2
dengue	Doc2
eficácia	Doc2
testes	Doc2
clínicos	Doc2
foram	Doc2
realizados	Doc2
parceria	Doc2
universidades	Doc2
públicas	Doc2
nordeste	Doc2
imunizante	Doc2
deverá	Doc2
passar	Doc2
aprovação	Doc2
anvisa	Doc2
distribuído	Doc2
população	Doc2
brasil	Doc3
registrou	Doc3
recorde	Doc3
geração	Doc3
energia	Doc3
solar	Doc3
gigawatts	Doc3
instalados	Doc3
expansão	Doc3
setor	Doc3
fotovoltaico	Doc3
criou	Doc3
mil	Doc3
empregos	Doc3
diretos	Doc3
indiretos	Doc3
país	Doc3
especialistas	Doc3
projetam	Doc3
energia	Doc3
solar	Doc3
será	Doc3
principal	Doc3
fonte	Doc3
elétrica	Doc3
nacional	Doc3
startup	Doc4
paulista	Doc4
neurotech	Doc4
lançou	Doc4
dispositivo	Doc4
capaz	Doc4
auxiliar	Doc4
pessoas	Doc4
paralisia	Doc4
controlar	Doc4
computadores	Doc4
pensamento	Doc4
aparelho	Doc4
utiliza	Doc4
eletrodos	Doc4
invasivos	Doc4
captam	Doc4
sinais	Doc4
cerebrais	Doc4
alta	Doc4
precisão	Doc4
primeiros	Doc4
testes	Doc4
pacientes	Doc4
mostraram	Doc4
resultados	Doc4
promissores	Doc4
acessibilidade	Doc4
autonomia	Doc4
cientistas	Doc5
universidade	Doc5
paulo	Doc5
identificaram	Doc5
nova	Doc5
espécie	Doc5
fungo	Doc5
propriedades	Doc5
antibióticas	Doc5
organismo	Doc5
encontrado	Doc5
bioma	Doc5
caatinga	Doc5
região	Doc5
semiárida	Doc5
piauí	Doc5
descoberta	Doc5
pode	Doc5
relevante	Doc5
combate	Doc5
bactérias	Doc5
resistentes	Doc5
medicamentos	Doc5
convencionais	Doc5
governo	Doc6
federal	Doc6
anunciou	Doc6
investimento	Doc6
bilhões	Doc6
infraestrutura	Doc6
fibra	Doc6
óptica	Doc6
regiões	Doc6
rurais	Doc6
programa	Doc6
visa	Doc6
conectar	Doc6
comunidades	Doc6
remotas	Doc6
carecem	Doc6
acesso	Doc6
internet	Doc6
banda	Doc6
larga	Doc6
iniciativa	Doc6
faz	Doc6
parte	Doc6
plano	Doc6
nacional	Doc6
conectividade	Doc6
digital	Doc6
lançado	Doc6
neste	Doc6
ano	Doc6
robôs	Doc7
autônomos	Doc7
utilizados	Doc7
operações	Doc7
resgate	Doc7
desastres	Doc7
naturais	Doc7
japão	Doc7
equipamentos	Doc7
conseguem	Doc7
acessar	Doc7
áreas	Doc7
risco	Doc7
sem	Doc7
expor	Doc7
equipes	Doc7
humanas	Doc7
perigos	Doc7
brasil	Doc7
corpo	Doc7
bombeiros	Doc7
avalia	Doc7
adotar	Doc7
tecnologia	Doc7
semelhante	Doc7
operações	Doc7
regiões	Doc7
difícil	Doc7
acesso	Doc7
computação	Doc8
quântica	Doc8
avançou	Doc8
significativamente	Doc8
novo	Doc8
processador	Doc8
desenvolvido	Doc8
ibm	Doc8
chip	Doc8
consegue	Doc8
realizar	Doc8
cálculos	Doc8
complexos	Doc8
frações	Doc8
segundo	Doc8
levariam	Doc8
séculos	Doc8
computadores	Doc8
tradicionais	Doc8
aplicações	Doc8
criptografia	Doc8
desenvolvimento	Doc8
fármacos	Doc8
esperadas	Doc8
tecnologia	Doc8
estudo	Doc9
publicado	Doc9
revista	Doc9
nature	Doc9
aponta	Doc9
desmatamento	Doc9
amazônia	Doc9
afeta	Doc9
padrões	Doc9
chuva	Doc9
brasil	Doc9
perda	Doc9
cobertura	Doc9
florestal	Doc9
reduz	Doc9
umidade	Doc9
transportada	Doc9
pelos	Doc9
chamados	Doc9
rios	Doc9
voadores	Doc9
pesquisadores	Doc9
alertam	Doc9
impactos	Doc9
severos	Doc9
agricultura	Doc9
regiões	Doc9
sul	Doc9
sudeste	Doc9
instituto	Doc10
nacional	Doc10
pesquisas	Doc10
espaciais	Doc10
lançou	Doc10
sucesso	Doc10
satélite	Doc10
amazonia	Doc10
monitoramento	Doc10
ambiental	Doc10
equipamento	Doc10
brasileiro	Doc10
capaz	Doc10
identificar	Doc10
focos	Doc10
desmatamento	Doc10
queimadas	Doc10
tempo	Doc10
real	Doc10
dados	Doc10
coletados	Doc10
serão	Doc10
disponibilizados	Doc10
gratuitamente	Doc10
órgãos	Doc10
fiscalização	Doc10
ambiental	Doc10
pesquisas	Doc11
indicam	Doc11
uso	Doc11
chatbots	Doc11
atendimento	Doc11
cliente	Doc11
reduziu	Doc11
tempo	Doc11
espera	Doc11
centrais	Doc11
telefonia	Doc11
ferramentas	Doc11
baseadas	Doc11
processamento	Doc11
linguagem	Doc11
natural	Doc11
aprendem	Doc11
continuamente	Doc11
interações	Doc11
empresas	Doc11
brasileiras	Doc11
telecomunicações	Doc11
lideram	Doc11
adoção	Doc11
dessa	Doc11
tecnologia	Doc11
américa	Doc11
latina	Doc11
fiocruz	Doc12
concluiu	Doc12
testes	Doc12
kit	Doc12
diagnóstico	Doc12
rápido	Doc12
leishmaniose	Doc12
visceral	Doc12
desenvolvido	Doc12
inteiramente	Doc12
brasil	Doc12
exame	Doc12
apresenta	Doc12
sensibilidade	Doc12
pode	Doc12
realizado	Doc12
unidades	Doc12
básicas	Doc12
saúde	Doc12
sem	Doc12
equipamentos	Doc12
sofisticados	Doc12
desenvolvimento	Doc12
reduziria	Doc12
dependência	Doc12
importações	Doc12
diagnóstico	Doc12
doença	Doc12
pesquisadores	Doc13
unicamp	Doc13
criaram	Doc13
material	Doc13
biodegradável	Doc13
capaz	Doc13
substituir	Doc13
plástico	Doc13
convencional	Doc13
embalagens	Doc13
alimentícias	Doc13
produto	Doc13
derivado	Doc13
bagaço	Doc13
cana	Doc13
açúcar	Doc13
decompõe	Doc13
apenas	Doc13
dias	Doc13
solo	Doc13
invenção	Doc13
reconhecida	Doc13
prêmio	Doc13
internacional	Doc13
inovação	Doc13
sustentável	Doc13
ministério	Doc14
saúde	Doc14
incorporou	Doc14
sus	Doc14
novo	Doc14
medicamento	Doc14
tratamento	Doc14
hepatite	Doc14
taxa	Doc14
cura	Doc14
fármaco	Doc14
havia	Doc14
sido	Doc14
aprovado	Doc14
anvisa	Doc14
agora	Doc14
será	Doc14
distribuído	Doc14
gratuitamente	Doc14
farmácias	Doc14
programa	Doc14
farmácia	Doc14
popular	Doc14
estima	Doc14
mil	Doc14
brasileiros	Doc14
serão	Doc14
beneficiados	Doc14
próximos	Doc14
três	Doc14
anos	Doc14
veículos	Doc15
elétricos	Doc15
tiveram	Doc15
crescimento	Doc15
vendas	Doc15
brasil	Doc15
durante	Doc15
primeiro	Doc15
semestre	Doc15
ano	Doc15
expansão	Doc15
impulsionada	Doc15
queda	Doc15
preços	Doc15
baterias	Doc15
lítio	Doc15
ampliação	Doc15
rede	Doc15
recarga	Doc15
montadoras	Doc15
nacionais	Doc15
anunciaram	Doc15
planos	Doc15
eletrificar	Doc15
frotas	Doc15
embrapa	Doc16
desenvolveu	Doc16
variedade	Doc16
soja	Doc16
resistente	Doc16
seca	Doc16
capaz	Doc16
produzir	Doc16
regiões	Doc16
déficit	Doc16
hídrico	Doc16
cultivar	Doc16
passou	Doc16
testes	Doc16
áreas	Doc16
cerrado	Doc16
semiárido	Doc16
durante	Doc16
quatro	Doc16
anos	Doc16
consecutivos	Doc16
agricultores	Doc16
adotarem	Doc16
nova	Doc16
semente	Doc16
poderão	Doc16
reduzir	Doc16
uso	Doc16
irrigação	Doc16
neurologistas	Doc17
brasileiros	Doc17
publicaram	Doc17
estudo	Doc17
uso	Doc17
estimulação	Doc17
cerebral	Doc17
invasiva	Doc17
tratamento	Doc17
depressão	Doc17
resistente	Doc17
técnica	Doc17
utiliza	Doc17
pulsos	Doc17
magnéticos	Doc17
modular	Doc17
atividade	Doc17
regiões	Doc17
específicas	Doc17
cérebro	Doc17
pacientes	Doc17
submetidos	Doc17
protocolo	Doc17
apresentaram	Doc17
melhora	Doc17
significativa	Doc17
índices	Doc17
qualidade	Doc17
vida	Doc17
plataforma	Doc18
digital	Doc18
desenvolvida	Doc18
pesquisadores	Doc18
ufrj	Doc18
permite	Doc18
monitorar	Doc18
tempo	Doc18
real	Doc18
qualidade	Doc18
água	Doc18
rios	Doc18
urbanos	Doc18
sensores	Doc18
instalados	Doc18
pontos	Doc18
estratégicos	Doc18
enviam	Doc18
dados	Doc18
continuamente	Doc18
servidor	Doc18
central	Doc18
sistema	Doc18
está	Doc18
operação	Doc18
bacia	Doc18
rio	Doc18
paraíba	Doc18
sul	Doc18
estado	Doc18
rio	Doc18
janeiro	Doc18
telescópio	Doc19
espacial	Doc19
james	Doc19
webb	Doc19
capturou	Doc19
imagens	Doc19
detalhadas	Doc19
obtidas	Doc19
nebulosa	Doc19
formação	Doc19
estelar	Doc19
fotografias	Doc19
revelam	Doc19
estruturas	Doc19
nunca	Doc19
observadas	Doc19
anteriormente	Doc19
nuvens	Doc19
gás	Doc19
poeira	Doc19
cósmica	Doc19
astrônomos	Doc19
nasa	Doc19
afirmam	Doc19
dados	Doc19
podem	Doc19
reescrever	Doc19
modelos	Doc19
origem	Doc19
estrelas	Doc19
aplicativos	Doc20
saúde	Doc20
mental	Doc20
cresceram	Doc20
downloads	Doc20
brasil	Doc20
pandemia	Doc20
covid	Doc20
plataformas	Doc20
telepsicologia	Doc20
meditação	Doc20
guiada	Doc20
lideram	Doc20
ranking	Doc20
ferramentas	Doc20
baixadas	Doc20
especialistas	Doc20
ressaltam	Doc20
aplicativos	Doc20
complementos	Doc20
substitutos	Doc20
acompanhamento	Doc20
profissional	Doc20
presencial	Doc20
capes	Doc21
anunciou	Doc21
abertura	Doc21
novas	Doc21
bolsas	Doc21
pesquisa	Doc21
áreas	Doc21
ciência	Doc21
tecnologia	Doc21
edital	Doc21
prioritiza	Doc21
projetos	Doc21
potencial	Doc21
aplicação	Doc21
industrial	Doc21
impacto	Doc21
social	Doc21
mensurável	Doc21
universidades	Doc21
federais	Doc21
regiões	Doc21
país	Doc21
poderão	Doc21
submeter	Doc21
propostas	Doc21
março	Doc21
próximo	Doc21
ano	Doc21
cientistas	Doc22
identificaram	Doc22
microplásticos	Doc22
amostras	Doc22
sangue	Doc22
humano	Doc22
coletadas	Doc22
seis	Doc22
capitais	Doc22
brasileiras	Doc22
pesquisa	Doc22
inédita	Doc22
país	Doc22
detectou	Doc22
partículas	Doc22
polietileno	Doc22
poliestireno	Doc22
exames	Doc22
laboratoriais	Doc22
pesquisadores	Doc22
alertam	Doc22
necessidade	Doc22
políticas	Doc22
urgentes	Doc22
redução	Doc22
uso	Doc22
plástico	Doc22
descartável	Doc22
brasil	Doc23
assumiu	Doc23
presidência	Doc23
agenda	Doc23
focada	Doc23
transição	Doc23
energética	Doc23
redução	Doc23
desigualdades	Doc23
digitais	Doc23
país	Doc23
propõe	Doc23
criação	Doc23
fundo	Doc23
global	Doc23
financiar	Doc23
acesso	Doc23
internet	Doc23
nações	Doc23
desenvolvimento	Doc23
iniciativa	Doc23
brasileira	Doc23
recebeu	Doc23
apoio	Doc23
inicial	Doc23
países	Doc23
membros	Doc23
bloco	Doc23
pesquisadores	Doc24
universidade	Doc24
federal	Doc24
minas	Doc24
gerais	Doc24
mapearam	Doc24
genoma	Doc24
bactéria	Doc24
encontrada	Doc24
solos	Doc24
pantanal	Doc24
micro	Doc24
organismo	Doc24
demonstrou	Doc24
capacidade	Doc24
decompor	Doc24
pesticidas	Doc24
organoclorados	Doc24
alta	Doc24
eficiência	Doc24
descoberta	Doc24
abre	Doc24
perspectivas	Doc24
biorremediação	Doc24
áreas	Doc24
contaminadas	Doc24
agroquímicos	Doc24
uso	Doc25
drones	Doc25
agricultura	Doc25
precisão	Doc25
aumentou	Doc25
produtividade	Doc25
fazendas	Doc25
centro	Doc25
oeste	Doc25
equipamentos	Doc25
utilizados	Doc25
pulverização	Doc25
defensivos	Doc25
mapeamento	Doc25
lavouras	Doc25
monitoramento	Doc25
pragas	Doc25
custo	Doc25
operações	Doc25
drones	Doc25
menor	Doc25
comparação	Doc25
técnicas	Doc25
convencionais	Doc25
aplicação	Doc25
aérea	Doc25
estudo	Doc26
coordenado	Doc26
instituto	Doc26
butantan	Doc26
revelou	Doc26
mecanismo	Doc26
veneno	Doc26
cascavel	Doc26
brasileira	Doc26
destrói	Doc26
células	Doc26
tumorais	Doc26
pesquisa	Doc26
identificou	Doc26
proteína	Doc26
presente	Doc26
veneno	Doc26
ação	Doc26
seletiva	Doc26
células	Doc26
cancerígenas	Doc26
achado	Doc26
poderá	Doc26
base	Doc26
desenvolvimento	Doc26
novos	Doc26
agentes	Doc26
quimioterápicos	Doc26
nacionais	Doc26
agência	Doc27
espacial	Doc27
brasileira	Doc27
firmou	Doc27
parceria	Doc27
esa	Doc27
desenvolvimento	Doc27
conjunto	Doc27
nanosatélites	Doc27
educacionais	Doc27
equipamentos	Doc27
serão	Doc27
fabricados	Doc27
equipes	Doc27
estudantes	Doc27
engenharia	Doc27
universidades	Doc27
brasileiras	Doc27
primeiro	Doc27
lançamento	Doc27
está	Doc27
previsto	Doc27
bordo	Doc27
foguete	Doc27
vega	Doc27
agência	Doc27
europeia	Doc27
pesquisadores	Doc28
usp	Doc28
desenvolveram	Doc28
algoritmo	Doc28
capaz	Doc28
detectar	Doc28
precocemente	Doc28
sinais	Doc28
alzheimer	Doc28
exames	Doc28
imagem	Doc28
sistema	Doc28
inteligência	Doc28
artificial	Doc28
analisa	Doc28
padrões	Doc28
atrofia	Doc28
cerebral	Doc28
ressonâncias	Doc28
magnéticas	Doc28
precisão	Doc28
diagnóstico	Doc28
precoce	Doc28
pode	Doc28
ampliar	Doc28
significativamente	Doc28
eficácia	Doc28
tratamentos	Doc28
disponíveis	Doc28
produção	Doc29
hidrogênio	Doc29
verde	Doc29
brasil	Doc29
deve	Doc29
movimentar	Doc29
bilhões	Doc29
investimentos	Doc29
segundo	Doc29
projeções	Doc29
setor	Doc29
país	Doc29
possui	Doc29
condições	Doc29
climáticas	Doc29
favoráveis	Doc29
geração	Doc29
eletricidade	Doc29
renovável	Doc29
necessária	Doc29
processo	Doc29
eletrólise	Doc29
complexos	Doc29
industriais	Doc29
ceará	Doc29
rio	Doc29
grande	Doc29
norte	Doc29
receberam	Doc29
licenças	Doc29
ambientais	Doc29
início	Doc29
obras	Doc29
cientistas	Doc30
brasileiros	Doc30
canadenses	Doc30
desenvolveram	Doc30
prótese	Doc30
mão	Doc30
biónica	Doc30
controlada	Doc30
sinais	Doc30
musculares	Doc30
residuais	Doc30
dispositivo	Doc30
usa	Doc30
sensores	Doc30
eletromiografia	Doc30
captar	Doc30
impulsos	Doc30
elétricos	Doc30
músculos	Doc30
antebraço	Doc30
testes	Doc30
pacientes	Doc30
amputados	Doc30
mostraram	Doc30
conseguiram	Doc30
realizar	Doc30
atividades	Doc30
cotidianas	Doc30
equipamento	Doc30
duas	Doc30
semanas	Doc30
